"Network Access Code"	"Usage"
"700"	"Vanity Special, Numbers Services"
"701"	"Mobile Network Services"
"702"	"Mobile Network Services"
"703"	"Mobile Network Services"
"704"	"Mobile Network Services"
"705"	"Mobile Network Services"
"706"	"Mobile Network Services"
"707"	"Mobile Network Services"
"708"	"Mobile Network Services"
"710"	"Mobile Network Services"
"800"	"Toll Free Special, Numbers Services"
"801"	"Mobile Network Services"
"802"	"Mobile Network Services"
"803"	"Mobile Network Services"
"804"	"Mobile Network Services"
"805"	"Mobile Network Services"
"806"	"Mobile Network Services"
"807"	"Mobile Network Services"
"808"	"Mobile Network Services"
"809"	"Mobile Network Services"
"810"	"Mobile Network Services"
"811"	"Mobile Network Services"
"812"	"Mobile Network Services"
"813"	"Mobile Network Services"
"814"	"Mobile Network Services"
"815"	"Mobile Network Services"
"816"	"Mobile Network Services"
"817"	"Mobile Network Services"
"818"	"Mobile Network Services"
"901"	"Mobile Network Services"
"902"	"Mobile Network Services"
"903"	"Mobile Network Services"
"904"	"Mobile Network Services"
"905"	"Mobile Network Services"
"906"	"Mobile Network Services"
"907"	"Mobile Network Services"
"908"	"Mobile Network Services"
"909"	"Mobile Network Services"
"911"	"Mobile Network Services"
"912"	"Mobile Network Services"
"913"	"Mobile Network Services"
"915"	"Mobile Network Services"
"916"	"Mobile Network Services"
